gender,age,investment_avenues,mutual_funds,equity_market,debentures,government_bonds,fixed_deposits,ppf,gold,stock_market,factor,objective,purpose,duration,invest_monitor,expect,avenue,what_are_your_savings_objectives,reason_equity,reason_mutual,reason_bonds,reason_fd,source,total_investment_score,preferred_safe_assets,preferred_market_assets,investment_diversification_score,age_group
Male,27,Yes,3,4,6,5,1,2,7,Yes,Returns,Capital Appreciation,Wealth Creation,More Than 5 Years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,22,8,5,6,Adult
Male,30,Yes,2,3,7,6,4,1,5,Yes,Risk,Growth,Savings For Future,Less Than 1 Year,Weekly,10%-20%,Equity,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,21,11,4,6,Adult
Male,29,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 Years,Monthly,30%-40%,Equity,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers And Magazines,21,10,4,6,Adult
Female,25,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Daily,10%-20%,Fixed Deposits,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,21,10,4,6,Young
Male,27,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Monthly,30%-40%,Equity,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Television,24,8,7,6,Adult
Male,27,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 Years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers And Magazines,21,9,5,6,Adult
Female,27,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Weekly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,24,8,7,6,Adult
Male,29,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Wealth Creation,3-5 Years,Weekly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,21,9,5,6,Adult
Male,37,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Savings For Future,More Than 5 Years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,21,9,5,6,Adult
Male,33,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Wealth Creation,Less Than 1 Year,Monthly,30%-40%,Mutual Fund,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers And Magazines,21,9,5,6,Adult
Male,25,Yes,3,2,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 Years,Daily,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,21,10,3,6,Young
Male,19,Yes,2,1,3,7,6,4,5,Yes,Returns,Income,Wealth Creation,More Than 5 Years,Monthly,30%-40%,Equity,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,25,17,2,6,Young
Female,25,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Weekly,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers And Magazines,21,10,4,6,Young
Female,29,Yes,2,3,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,More Than 5 Years,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers And Magazines,21,10,4,6,Adult
Male,38,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Savings For Future,Less Than 1 Year,Daily,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,21,9,5,6,Adult
Female,35,Yes,3,4,7,5,1,2,6,Yes,Risk,Growth,Wealth Creation,More Than 5 Years,Monthly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,21,8,5,6,Adult
Female,25,Yes,4,3,2,1,5,6,7,No,Locking Period,Capital Appreciation,Wealth Creation,More Than 5 Years,Weekly,10%-20%,Mutual Fund,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants,26,12,3,6,Young
Male,28,Yes,3,4,6,5,1,2,7,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 Years,Weekly,30%-40%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers And Magazines,22,8,5,6,Adult
Male,34,Yes,2,3,7,6,4,1,5,Yes,Risk,Growth,Savings For Future,Less Than 1 Year,Daily,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,21,11,4,6,Adult
Female,28,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 Years,Daily,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,24,8,7,6,Adult
Male,23,Yes,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,Less Than 1 Year,Daily,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers And Magazines,21,11,4,6,Young
Male,30,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 Years,Weekly,30%-40%,Public Provident Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,22,10,4,6,Adult
Female,29,Yes,2,3,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 Years,Weekly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers And Magazines,21,10,4,6,Adult
Female,29,Yes,3,2,7,5,4,1,6,Yes,Risk,Growth,Wealth Creation,Less Than 1 Year,Daily,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television,21,10,3,6,Adult
Male,28,Yes,1,4,6,5,3,2,7,Yes,Risk,Growth,Wealth Creation,Less Than 1 Year,Daily,30%-40%,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,22,10,5,6,Adult
Male,27,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Monthly,20%-30%,Equity,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,23,10,4,6,Adult
Male,21,Yes,2,1,3,7,6,4,5,Yes,Returns,Income,Wealth Creation,Less Than 1 Year,Daily,10%-20%,Public Provident Fund,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,25,17,2,6,Young
Female,22,Yes,4,3,2,1,5,6,7,No,Locking Period,Capital Appreciation,Wealth Creation,More Than 5 Years,Monthly,20%-30%,Fixed Deposits,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants,26,12,3,6,Young
Female,21,No,7,5,4,6,3,1,2,No,Risk,Capital Appreciation,Wealth Creation,More Than 5 Years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Liquidity,Fund Diversification,Safe Investment,Risk Free,Internet,24,10,5,6,Young
Male,23,Yes,2,1,3,7,6,4,5,Yes,Returns,Income,Wealth Creation,1-3 Years,Monthly,30%-40%,Fixed Deposits,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,25,17,2,6,Young
Male,27,Yes,2,3,6,5,1,4,7,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Daily,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television,22,10,4,6,Adult
Male,24,Yes,3,2,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,More Than 5 Years,Daily,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,21,10,3,6,Young
Female,30,Yes,3,4,7,5,1,2,6,Yes,Risk,Growth,Wealth Creation,1-3 Years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,21,8,5,6,Adult
Male,25,Yes,2,3,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,More Than 5 Years,Monthly,30%-40%,Public Provident Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers And Magazines,22,10,4,6,Young
Male,33,Yes,1,3,7,4,5,2,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Weekly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers And Magazines,21,11,4,6,Adult
Male,27,Yes,1,4,6,5,3,2,7,Yes,Risk,Growth,Wealth Creation,More Than 5 Years,Monthly,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,22,10,5,6,Adult
Female,27,Yes,2,3,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Monthly,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers And Magazines,21,10,4,6,Adult
Male,27,Yes,4,5,1,2,7,3,6,No,Returns,Growth,Wealth Creation,1-3 Years,Weekly,20%-30%,Equity,Education,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television,27,12,5,6,Adult
Female,22,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 Years,Monthly,10%-20%,Equity,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,21,10,4,6,Young
Male,22,Yes,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 Years,Daily,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers And Magazines,21,11,4,6,Young
Female,29,Yes,2,3,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,More Than 5 Years,Weekly,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers And Magazines,21,10,4,6,Adult
Male,30,Yes,3,4,6,5,2,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,22,8,5,6,Adult
Male,27,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 Years,Monthly,10%-20%,Equity,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,23,10,4,6,Adult
Male,27,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Wealth Creation,Less Than 1 Year,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,21,9,5,6,Adult
Male,27,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,More Than 5 Years,Monthly,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers And Magazines,21,10,4,6,Adult
Male,30,Yes,3,2,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 Years,Monthly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,21,10,3,6,Adult
Male,23,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings For Future,Less Than 1 Year,Monthly,30%-40%,Mutual Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,22,9,5,6,Young
Female,26,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Daily,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers And Magazines,21,10,4,6,Adult
Male,30,Yes,2,3,6,5,1,4,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 Years,Daily,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television,22,10,4,6,Adult
Female,22,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Weekly,20%-30%,Equity,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,21,10,4,6,Young
Female,34,Yes,1,2,5,3,7,6,4,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 Years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers And Magazines,23,16,3,6,Adult
Female,26,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,More Than 5 Years,Weekly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers And Magazines,21,10,4,6,Adult
Female,30,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,More Than 5 Years,Daily,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,24,8,7,6,Adult
Male,34,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Savings For Future,1-3 Years,Weekly,30%-40%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,21,9,5,6,Adult
Male,25,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings For Future,Less Than 1 Year,Monthly,10%-20%,Fixed Deposits,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,22,9,5,6,Young
Female,34,Yes,1,2,5,3,7,6,4,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Daily,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers And Magazines,23,16,3,6,Adult
Male,24,Yes,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 Years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers And Magazines,21,11,4,6,Young
Male,28,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings For Future,Less Than 1 Year,Weekly,20%-30%,Public Provident Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,22,9,5,6,Adult
Female,38,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Savings For Future,More Than 5 Years,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,21,9,5,6,Adult
Female,26,Yes,3,2,7,5,4,1,6,Yes,Risk,Growth,Wealth Creation,Less Than 1 Year,Weekly,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television,21,10,3,6,Adult
Male,24,Yes,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,Less Than 1 Year,Monthly,10%-20%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers And Magazines,21,11,4,6,Young
Male,26,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 Years,Daily,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,22,10,4,6,Adult
Male,27,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Daily,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,22,10,4,6,Adult
Male,24,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,More Than 5 Years,Daily,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers And Magazines,21,9,5,6,Young
Female,25,No,2,1,3,6,4,5,7,No,Returns,Income,Wealth Creation,1-3 Years,Weekly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Internet,25,15,1,6,Young
Male,28,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Wealth Creation,1-3 Years,Weekly,10%-20%,Public Provident Fund,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers And Magazines,21,9,5,6,Adult
Male,33,Yes,2,3,7,6,4,1,5,Yes,Risk,Growth,Savings For Future,More Than 5 Years,Monthly,20%-30%,Equity,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,21,11,4,6,Adult
Female,25,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 Years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,24,8,7,6,Young
Male,36,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Savings For Future,1-3 Years,Monthly,30%-40%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,21,9,5,6,Adult
Male,22,Yes,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 Years,Daily,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers And Magazines,21,11,4,6,Young
Male,30,Yes,2,5,7,6,3,1,4,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 Years,Weekly,10%-20%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,21,10,6,6,Adult
Male,25,Yes,2,3,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,1-3 Years,Daily,10%-20%,Mutual Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers And Magazines,22,10,4,6,Young
Male,29,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 Years,Daily,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers And Magazines,21,9,5,6,Adult
Male,30,Yes,3,4,6,5,2,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Daily,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,22,8,5,6,Adult
Male,25,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings For Future,3-5 Years,Monthly,10%-20%,Public Provident Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,22,9,5,6,Young
Male,29,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,More Than 5 Years,Daily,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers And Magazines,21,9,5,6,Adult
Male,30,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Monthly,10%-20%,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,22,10,4,6,Adult
Male,32,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less Than 1 Year,Monthly,10%-20%,Fixed Deposits,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,23,10,4,6,Adult
Female,22,Yes,2,4,5,6,3,1,7,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 Years,Daily,20%-30%,Public Provident Fund,Health Care,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers And Magazines,23,10,5,6,Young
Male,28,Yes,3,4,6,5,1,2,7,Yes,Returns,Capital Appreciation,Wealth Creation,More Than 5 Years,Daily,10%-20%,Mutual Fund,Retirement Plan,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,22,8,5,6,Adult
Male,28,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 Years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,22,10,4,6,Adult
